UUID,NPS,Comment
t0ff71b5c9586465cb4f96b3b6b00af65,9,Good to work with
tf47833325fc245058af8f56605c338cb,10,"Typically, always able to meet our staffing needs."
t65b6ce1baf3d4792ab04f94c2b9d8a28,10,The prompt service I always receive and the success rate with finding me qualified candidates.
tda7285fad5f4419e98c067bb2d7168b5,10,very professional and easy to work with.
t125a1beb1a50477684a55f17a87d0c6b,7,two of the candidates we chose to work with have been disruptive and argumentative. but the office staff is very helpful and friendly.
t6e2e24f573d94c12a8b170e0d4c6b3b1,10,"Responsiveness, quick to get resumes forwarded over and interviews set up. They do a good job of ""managing up"" our facility to the contractor as well."
tde25818ea54e40d6a632a74df35b7b35,6,We have not used supplemental in a while. We have been able to hire more staff. Most of the RNs we like have taken assignments.
t60b3768b2b3948ce99e4f6fdaef2b236,10,The therapists that have contracted with us in the past have always been professional and overall required little supervision.
tf673d89e3fba4ea78729061ca953d25e,10,"Great partnership:  Quick responses, proven ownership, solutions driven, loyal partner"
tf087d4f11a8d49a5b3bedd76e6e8ba77,7,"Quality of RNs. We have had several RNs from supplemental whose contract we terminated early because of performance. However, on a more positive note, the staff at Supplemental are WONDERFUL and a pleasure to work with."
t349720b429a54b12828bab9f3f22ba09,7,Limited availability for all disciplines.
t813798c4554346bd85a1963d34f3ab62,9,"responsive leadership, quality candidates, fast turnaround"
t0f7f571c156b4075bfa178770228915c,8,"All staff provided have been very good, but just when we got a new PT oriented, she was given an assignment and is no longer available.  I have heard no information about a replacement."
t02ec3f34c7d647c0a5dbcef4d15b3580,8,Good experience with therapist provided. Regular check-ins by staff
t31f0a3166ad442ab83c2b44f512ad880,9,good communication and ease of timecard approval
tda9fe73d5cb0459892833d1ab433a66c,10,Great to work with and quality nurses
tba9aa4473c2b43e7b299077348327b3c,10,Virginia has been very dedicated to the caseload.  She is very well aware of the students' needs an is a great advocate for the students.  She works well with the teams as well.
t36ac8e936df4411d82e12ea9ba00ad30,8,Continued issues with billing. We receive inaccurate and delayed invoices. This requires additional time of my staff to reconcile the invoices as well as delaying processing for payment.
t94f9c8c7c65d41a0a990ab68087dba98,8,Hasn't been perfect but has been good. Wish you had staff available for emergency last minute needs.
t1ef1ea2470fb49abb41bff9fb0542c96,10,Always great service. Quick response. Great caregivers.
t15c8f70b214549bb906054a941023fb5,8,I feel like i have a great working relationship with Melissa and Christie from KC.  They are responsive to my requests and are a pleasure to work with.
t3392a99d8c0d4736b7ac8d8c046772e2,8,Candidates are usually appropriate when presented
tb8c85ef35c034520878f36f6129b8964,9,team i work with is helpful and responsive
te2d27e2e436149b19c9936be47cbe912,10,"Ms E, my contracted PT, and Monica and Fariha"
t1f06c0befc2048c88a7a6823ec6d8b9e,8,"Consistent follow through, communication and excellent customer service from client service managers."
t4d8a45d59cf54941b4c85e3d409a29d3,10,Great customer service
tcdd143084537492480aa3a198fff2900,6,We havent used very many staff at this facility
tf91e61bc40ee40d3ba2b3fc0e31285a5,6,I haven't had may fills with Supplemental.
tcee622c08a0b4d6db34cfb95f37581ad,10,"Supplemental has great staff and provides experienced travel nurses.  Supplemental is very easy to work with,"
tca0694f3ee09418a82fc38ece4eb9e58,6,Therapist were not available for times requested.  It was clearly stated that we needed weekend coverage and therapists were never available
t083743f47f144471ba9ff98372b85c07,10,Great customer service and follow through
t419cca1503634e9f8eb3322ec228e84e,10,Supplemental has always been prompt when responding to requests for therapy services. They communicate well throughout the process and follow through with qualified candidates.
tf55432d6f9834804ae929a9fd68e47b3,8,Supplemental has responded to all staffing needs and available when ever needed.
tcb95e0fb192740afa14d6df01f950ab0,10,Supplemental Health has been extremely helpful when we have needed subs in a variety of service providers.
tc20da19a3a694db9b3342846c3f6ed19,10,Customer Service is excellent.
ta6ac2cf5e3594153ac261e6bb6b06c56,9,Our staff reported that the Supplemental nurses that covered for me were very good. They worked well with the staff and students.
t1d37a36d2c444ab0b3b17c46f7db3ebf,10,We continue to have a very good relationship with Supplemental. The staff that work with in securing the contracted clinicians are fantastic and the clinicians are very dedicated.
td3944631f8ef4ea7afbdd6999a00b698,7,Quality of support staff and input from district staff
t31ba7888be18439fb9c9acb76d291eaa,10,Always there to assist with our staffing needs in a timely manner.
t328f894c0f764cf6a62addb682bb5981,8,"The recruiters are very responsive and have excellent communication. There is one competitor that helps with orienting new staff which helps not only expedite the onboarding, but cuts our costs."
tc9328dab28434c308480b31cc5073b6b,8,"The staff is always friendly, professional, and prompt. Substitute nurses are not always available upon request, even with advanced notice."
t9d0df597d0dc464282e02c2f72e26d24,10,Great communication.  Proven ability to meet our staffing needs.
td641026c1f9943a6adc62bef1f8dec0a,9,"excellent customer service, great nurses"
t6af5b91eb1cc47daad11b02278d58725,8,The last nurse we had was not able to perform her role requirements for productivity.  This was her first contract nursing position and I think that was the reason.
t591bd2eaf218430e912f33bc6c7ed7c4,9,very good nurses
t8dd3b54fbbc6461888c8bae23a2e6c45,10,"Excellent providers for the most part. Excellent relationships with districts
Very Good communication with staff"
teeb10157c699413f935e3d9e18dac1c2,8,Prompt response
t14ec77b778d242869e67104fe6853d61,10,I have expirenced great customer service and turn around time finding travelers when i was in need of one.
tc5594ab03c3f4d6e8afa07a5620e8de8,5,"Lack of coverage when requested.  The majority of the time a nurse is requested, you are unable to fill the position."
t3fb77e92d8024d26b4bd75e15ce9c724,10,I like working with Heather and the therapists are the best of the contract therapy companies.
t550cab4f26d747e195a01258b055a848,10,They are always there when we need them and quick to respond to issues we are having.
t78111217a4794050bad3b73bcf55c84c,10,Nurses have been very competent. Danielle is the best.
t9218707722fa41d8a75880a1195852ad,10,They are always prompt in answering any inquiries and always have a nurse sub available for us when we need one.
td0adfc53b65a4a9ab5724c8cfe8b8f0d,8,Overall we are pleased with the service we have received.  We did have one issue regarding coverage while the temp was gone on vacation and no-one was provided to cover for her and the communication was not what it usually is.
tc5553dfd27434960a81cf1071b034759,9,we work the most with supplemental and know they will help us in any way we need.
t5728f98961424438bee593256337efe5,9,Quick response to calls and emails. They do try to find candidates to meet our needs.
t612e46cbb82d424690cca131b4739993,9,"This agency has been very responsive when we contact, just have not had an extended experience at this point."
t508675e919a64c60b797653397e0a08e,7,The therapists I have had here are excellent but the cost to us is much higher than a couple of other companies.
t17dca6e92fe14744ab3f00891f05bcfc,10,Very easy process for coverage.
t5f3b10fdc36e47449d7eb8626441f61f,8,The therapist we had for our contract was excellent. It took quite a while to get a therapist for my needed FMLA.
t65487d911c1048b59810b158f4bea15e,9,Had good experience with their staff member.
ta9a17325b6434ba7b4213f85d51b13e0,9,"We have been very pleased with almost all the speech therapists that supplemental has provided. Also, they were able to find coverage for PT that we ended up not using, but still very helpful."
t994d82c763324de0a667f3e4e6eaaac2,10,great customer service...attentive to the facility needs
t1c264496d3254610987fa82dc4e4f670,8,They are willing to always help when the need is open. Also they are quick to respond back to phone calls and emails. When we have a problem with one of their employees they are quick to handle the situation.
tfd2d2b82993c4abe836d58320fae7d1d,10,"SHC has been reliable from the start.  It was provided staff and additional needed staff as our district need changed.  All of my SHC contacts are responsive, timely and proactive.  The quality of  staff/therapist provided is the caliber of what I would myself hire.  Dealings with logistics is smooth, communication is clear and open and the work gets done!"
teb8b5d74803a4032924482d87e6149b8,9,The group is easy to work with and helpful. Some small communication issues.
t37194df55bfc40fb8a4c4291efb838e3,10,Very timely with responses to needs and even gives a heads up of availability.  Have been pleased with quality of therapists.
t36fcca5cd10f4a648bbabc318530a6c1,10,I worked for them in the past and found them an extremely accommodating employer.
tbd978b57e0e34fb5be2970542479a3f8,3,"- Communication
- Inability to follow our processes 
- Submissions"
t046a08f5ae30491ebf8b8f5b9e8f112a,9,I utilize Supplemental the most during our summer session. Melissa and her team are always willing to step in and provide me the level of staffing I need. I also appreciate that when the spring rolls around Melissa is proactive and reaches out to me to start talking staffing needs for the summer.
t56069bd614bc43ee945a4cb5a0b42fed,10,Good customer service.  Good experience with all of the therapists that I've worked with.
tb9bdc80cfcde4d3fa53742f541571eb2,7,They staff has been great to work with. There have only been a few times that we were unable to get staff from Supplemental in the timeframe necessary. There have been a couple of placements that were nor rehired or terminated due to substandard performance.
t4893f048c1664b0fbb16811690e17235,8,Supplemental has provided us with good professionals to assist with our patient care.  The majority have done well despite a few who did not work out. Sometimes they do not have staff available for our needs.
t58fe24c8ba9e4fba8f435c2daa014840,8,Some of the staff are not very reliable.
t0ec8c4d9846f4d5dbfcd981841a64e3f,10,"The staffing managers are very professional, efficient, and always will to help.  I would like to acknowledge these ladies Helen Royston, MyKale Ross, Geneva Simpson and Clay Whittington; who is the manager.  He is a delightful person.  He is very hands on always assist his staff."
t37f442f4cbf047ed8e26933742d74c1d,10,"reliable, the staff they provide are competent"
t6461a9fba5b2481baf2cd4397c09c7b6,9,Exceptional RNs Esi Jackson sisters
tefe01865cfbf48eaaca1ae03db52a054,9,"Supplemental has significantly contributed to helping us fill nursing positions that we have been unable to fill on our own, especially for those hard to fill night and evening shifts."
ta7d1d929312e43ceb3c4ddaf6e203426,9,"Great customer service, friendly staff."
tc9967badedf342b9b0ecb7a9f7885cdd,5,Have not had much contact with SHC lately
t51f4675ef6d242feaa3229885e03fae2,9,"Sharee has demonstrated a willingness to assist in resolving any issues or concerns that may arise.  Mrs. Emily Bowman, SLP has been efficient in her duties and responsibilities here at the facility.  Based upon their effectiveness Supplemental Healthcare earns a 9."
t49c5548d46b144529e50fd229d7c056d,5,Other agencies require less interaction and manager time.  We utility Shift Select for staffing and this information is provided to new employees.  There is repetitive communication between nurse and Supplemental staffing managers.
t7ea26c97b0774a1ca2b6597b57f85f94,9,Amy Marshall is really great at helping us.  She gets us answers for the help we need right away.  Amy usually gets all of our needs met before anyone else.
t2fbfb78d56dd4d739b82ad382064407f,9,"Although I have not utilized them recently, they are a good company to deal with."
tde3c7c9a2fee465a8f3ea8df9232d2a0,1,I called for coverage for a PTA and never got a response
t179d1e7f9d964f338dff8441dd44d7bc,10,Excellent support and communication with administrative staff.
ta389ea02e45840d2879b62aa979a67af,9,They have great staff.
tdfe1c0afe5414ca4a00d1b531c639e24,10,Kavita Patel
t0f26357d5a6b4b7cb73edbf07e9ff01f,10,"I am provided with a consistent contact person, who then communicates with all recruiters and gets back with me at the center. This saves a ton of time when attempting to fill open positions. Erin also takes the time to check with me on how contracts are going and if I need anything even without contracts in the building."
tda883ddd124f4b9ab37b61f8cdb57e6f,9,Prompt responses to requests.
tada36a0096ec49fcae4da4d31fb1f031,10,always exceeding expectations
tbc63f3fe3e83491095eb9b7ccc3a42f2,10,Senior staffing manager & Area manager are excellent
tff8fce2b0ad94c6f8f4367bbfec1dd01,6,Late compliance on several travelers
t643e1b77383343f68f4ef16a27f6099e,10,Customer service was great and the contract associate was one of the best RNs I've ever worked with.
tf6942679790f4e2485a562412a4fdebf,8,Tina does a good job.  Very receptive and helpful!  Answers all of the questions I have for her.
tf2319fc946774ca085ec2ecebfa1f453,10,"Great communication 
Quick response time"
tcd0a3f61f02c44179887d54fb1989a68,9,"The contacts I have worked with (Sharee and Natalie) have been professional and positive, and almost all of the candidates have been strong."
t4a68ff4bdb604a3c9ec4c6d78147843c,10,Great response time and great customer service!
td37ec3e7c8be49249e94425459588838,10,"They communicate well and responsive to my requests. Also, the quality of their candidates."
t7ac83b79a88745f0b8d969d5a364511b,5,Availability of therapists experienced in my setting with per diem availability
t89e6fa3628164895bbd00a69cfd3cbd4,10,Communication! The staff at Supplemental Health Care do a phenomenal job with communication!
t4788662297914ce3ae061b4ddfc68e5e,10,"My recruiter is professional, and always open to concerns and fed back with applicants submission. Our facility is a very difficult area to fill with qualified candidate, but Kathryn is excellent."
t6c1e80873dea46cdabce260dbcea5d0a,9,In my experience we have been lucky to have a partnership with Supplemental.  Anytime we are in need of coverage SHC has always came through with ample resumes and RN's to choose from.
t35d13a222e534ef3b97f2b5785be0efd,8,They are helpful and responsive and I have had some success stories.
t48a130470a30423eb38d0c2e6b764b95,1,Two nurses quit abruptly without any notice.
tf4172f57667947b2b1495079402782f7,8,"I have found all of the Supplemental staff to be friendly, knowledgeable and efficient."
t15c1759ad9134ef481ec4e6129357965,10,Supplemental is so easy to work with! They are responsive and helpful.
t2a693029700a4f4fa3dcb4efdbb4d6f0,6,"Company representative is great to work with - professional and friendly; timely communication and follow up. Plenty of candidates have been submitted that appear to be qualified on paper; however, the number of unacceptable candidates that we've had to let go (after training) is higher than we've seen with other companies."
t04eeb5917ac74410b9cfca14013beab0,5,OT person left without notice and is MIA with our equipment.
tdc033d421c994a2aa6a7676967c7bbb1,6,The response from my staff is the follow through from the recruiters and the incentives for working with the company are not as good as others.
tea7c94c42c814bf88dec064a8dc93d5b,10,The leadership team works well with me and the rest of the SHC team is great communicating to my teams.
t0724d11ee2984882b23ffb7d613c5728,10,I have LOVED every candidate that Supplemental due to their their skill level but more than that the cultural fit of each person.
t0e85ff40d20a4b9f889e3a18546e8501,10,"Great initiative in filling the position, great customer service."
t907b5f21990149ddaccfd3bb2e033a6e,10,Responsive and flexible.  Great relationship with staffing coordinators
t622973b83899419c963087071769e381,5,I have asked several times months in advance for coverage and they don't have any available.  I really need great ortho candidates but most have some experience but mainly practice in other settings and are not geared towards the fast past environment.
t5b707ea54f984826861ba60a68a7dec8,6,"Have not been receiving consistent candidate referrals. Our contract includes CNA's and i have been asking for 3 weeks for these, but only received the first applicant two days ago.
Email requests for missing documentation go unanswered."
tcf967874fb6d4b7b80345ac70f5648d0,10,The Team I deal with at Supplemental are very helpful and are in constant contact with me on finding related service providers and nurses for our needs.
t24eb0a3a412545f5ae1bb5e02da51a47,10,Excellent customer service with Sharee . Very good clinical personnel on hand.?
te87da5127a7d4036824062c21aa8df65,3,I do not get a large amount of candidates from this company as compared to the other agencies.
t766699da3e074bb58ff7c35b73f41e4e,10,"Provides candidates with good patient care skills.
Submit candidates in good timing for interviewing."
tdad9ae96608d48b8b293b22feee0f829,10,"Supplemental sends us high quality professional nurses readily and consistently.  They have also partnered with us to offer support, education, and performance feedback when necessary and that process has always felt very collaborative.  They are responsive and engage in a true partnership to help us meet our staffing needs and safety and quality standards."
td6453cd474a848b4ab290d7b9eeed9ff,5,There was an issue with sub coverage.  The nurse we contracted for provided advance notice to Supplemental supervisor that she was taking vacation weeks prior to her going away.  A sub was not provided.
t72c06cb28b7e47148e27f622e4ca3c0f,10,"Great communication with staff, quick response time!"
t827ae55c2ccc4720b069b4fb0311028e,9,"Supplemental has provided some excellent RNs, OTs and SLPs and we know it is not always easy to find quality candidates."
td38d01b0f8b5424ea06bfbbd290799b6,9,The management was great to work with and most of the Nurses were very helpful
t7e9ad3fb147b476885ef935738876434,1,They have not been meeting substitute needs lately and will not communicate when they do not have someone. I am the one that has to call and follow-up with someone to find out if we  will get a substitute nurse come out to the school. Sometimes it seems they have forgotten to find someone. Most of the time I know that I do not have anyone when there is not a nurse that shows up at the school or I get told the day before because I have reached out.  Also they will tell me that they have someone but then the person cancels at the last moment.
tc1649e44872e44dfa0c6cb4b5a0c557c,10,"Competent friendly therapists that are able to jump right in and start working,
Company is great to work with to find a good fit"
tf9fd4efe9ec74941a6833b70ababed83,10,"quality staff, good working relationship with Janell"
t3d26ff8a788940b6a90c4d6dc4d2c850,10,The relationship that my contacts at Supplemental have worked to build with me and the foundation of trust is the primary reason that Supplemental Health Care is my favorite staffing company.
t757c0a2fbc064986a1c86e563c7dfdc0,10,Kathryn and Erin have been wonderful to work with and have met our needs with qualified contracted staff that have performed up to our expectations.
ta918650f0f3544f2af80ddf5b2e6c0be,10,"Very kind staff, always gets back to us in timely manner."
t9d3255b2082f4678ab269fed85844575,10,The staff we get from Supplemental is always great!
t2d52cf0e9aa941d79641d0468b2dbe0d,8,Agency staff they provide has for the most part been sufficient and staff at the facility has been helpful and kind.
t7b94c6dd559c4f7e94be17c0ad35500a,5,We are not able to get sufficient number of staff on a regular basis
t57893213250047c98bac0d31694a7b40,6,clinciians down south are working out but last two clinicians for NE FL have been poorly vetted.
t7765d973fd7f47c0a996332b8524e86d,0,Charging us for fees we did not incur.
t87760e5b5d334a5993b675133b966956,5,"I am not sure, but since we started that Pandion contract with Supplemental, We have not received the candidates that we had previously.  When they do send us one, it is usually a qualified candidate."
t528d34a703714bd6a5c6f863a6a693fb,9,Supplemental has always been very easy to work with. I have worked with Justin Dillingham several years. He has always been responsive and professional.
t57ed0b78dacc49898cd6c7d69d72e754,1,"No follow up. I requested for a social worker, I was told by several staff that they would call me. I followed up through email as well but nobody called me back."
te0519fc3de4746f99c2f369ff1887440,10,Chelsea Polk and Blake have been awesome!
tf0c45ca1eb124b1995c71b7d36b7fcf6,8,The staff is amazing and I always get a quick answer back about anything that I need.
t8f3d1d4301714080a18956c264a6d3a0,10,Ed has been a wonderful addition
t4208477bbc8e4d90b36e35b905b8a436,10,Supplemental Healthcare provides excellent customer service.
tb8407ac349c143e78c6afe6f073611e0,9,Missy Carpenter and Nancy Chatterton are great to work with
t9cb74d929b57447ea29ac4c622b15fd5,8,see below
t76f8b76d8cd746018ddf127fa42c462a,5,"Agency bid regardless of not being able to meet all the specifications for the job.  ""Every"" invoice had to be returned for corrections and we are still waiting to be billed for work done.  Program ended in August."
t45eec9ca6d1f4ffca0c78a9c10f6ec68,7,"The last two therapist have been a little difficult.  SPL was very demanding and cause a bit of an uproar in the facility.  OTR left without doing what needed to be done.  ie. paperwork was not completed, although she said she did."
ta1080b9823f749a39da9d8c2bf51e422,10,"The people I work with are professional, courteous and helpful.  I feel comfortable sending their nurses with my students"
t19b892315abf4ef4ba6a69b62d5c5a1e,10,fantastic customer service
t2ce1a56bd872495f9436487250f63cb9,5,"We have some poor candidates who have had difficulty in our environment. We have had to terminate a few, and a few have been unable to work due to our background check."
t5e466ac3a5b54a36b7cf51d87e21aa07,10,Quick to respond. Caring and Professional staff. Staff great communicators.
td463560efe914c47a375a2610af0edae,10,"I have worked with many agencies in my 25 years as a Director, their attention to detail, covering when absences occur, and professionalism is the very best I have ever seen.  The quality of the admin staff and the service providers is the best I have experienced."
t448a88aa4ba944549005822aa24863ce,10,Great service
t1d08055769c44a579a52da990a1cd64d,9,"Excellent communication with Supplemental Staff that aides in finding ""Good fits""."
tf201b99350d54285b2e20f26026f719e,10,Great customer services. The Fresno staff are very helpful. Transitions and addressing issues has been done so with great customer service. I do also appreciate upper leadership meeting with us periodically.
t1b67ced5169547228b438f63dfe2bf17,10,We have always had a great experience with Supplemental Health. They have found qualified people to join our team
tb4cb36a157124462ac6ee1eaf090b52e,7,Canceling last minute background checks poor
t26de0cdd25bc41be941723be4714cbe0,10,"The staff we have with us are wonderful and qualified.  

The management is very committed to providing quality people to us.   They check in frequently."
t43839dd3e2a84f8ab00a28c8edf4b9a9,9,"Respectful, polite and always do their best to accommodate"
tf74ff2ce46bc4bc6bc9cae7bb84e2b25,9,great people to work with
t7eae70c3a8de4ed887747d640d9bb6bd,8,Usually sends quality candidates but it can take a long time to get someone probably because homecare is specialized.
t574398ed365941bda7007ae2ba8dbf70,10,"Great relationship with my local provider: communication, response, support."
td87c12b5a252400698c9326299ac2e4b,10,"All of the nurses we were staffed with were so wonderful. They were always reliable. Erin was amazing as well. Always reachable and easy to work with. All the nurses felt like they fit right in with our ""family"" here."
t1830edfd96d5407eb17d884512395d75,8,Attentive and professional at all times
tf83503437a48445ab31eae3be0d73459,10,Great candidates and accommodating company.
td00b4a8e18f44e41a8a132a77ced10d1,8,Responsive
t7b18198a2c6f4b808413bee7b1b93289,10,Brittany Marks always gets back to me on a timely basis and has provided much needed assistance with covering difficult areas and schedules.
t8b0646d7c77848428c5e9779274b6d97,10,"Good communication, quality reviewers."
td8fb5578139640c7bf04c996d0cc1719,9,Very easy to work with and quick response time
